ativo_canonico_id,emissor_curado,setor
3fae6e8e-127f-47d9-b7b0-cc9f65b7aaae,Cereal,Outros
f6274628-8f70-470e-acff-c80ff90158fc,JF Citrus,Agronegócio
e636f7d4-f7b6-449b-97a1-173f1cd724dc,Zamp,Varejo & Consumo
e419b17d-7f95-4d6c-8d21-3228527a6fe9,Madero,Varejo & Consumo
83e6e88b-82be-4754-aab4-8c8cf0714ec7,Artesanal Securitizadora De Creditos S/A,Outros
1de0d927-4ce3-47fc-b127-75df6c12fd88,Rio Amambai,Agronegócio
e38ecc0c-de30-4537-ab12-864f97c3ab05,Seara,Agronegócio
1e779f7e-f1aa-4c1d-862f-6c0b3779cabe,BTG Commodities,Agronegócio
1e90921e-057c-4774-8e90-0973c7c1fb21,JBS,Agronegócio
1f4c5369-d593-4431-8b12-7a2eaf3a0f39,Banco ABC,Financeiro
f0418e31-2db8-44a5-a58f-74cb69436b4e,JSL,Infraestrutura & Transporte
b13a0281-c926-4cca-90a1-4517c7efc6b6,FS,Agronegócio
4128a218-af19-48e4-b1ed-f0e5c73bae30,Vamos,Infraestrutura & Transporte
20211699-e800-468e-b5ad-8f511281cfb5,Vamos,Infraestrutura & Transporte
833507e9-9ed2-4cc8-9633-bfc094116016,Camil,Agronegócio
206d273a-c60e-4ce4-8cf9-d8aa725a750b,BRF,Agronegócio
b1065c9a-b228-4061-869a-393e93add6a8,ACP Bioenergia,Agronegócio
56b1a644-9ed1-46dc-8a2c-9452cdbd6227,Minerva,Agronegócio
e1cd7960-5d16-4a07-b602-f90c8d321105,Adecoagro,Agronegócio
20efda50-d447-45e3-9609-f37373920a11,FS,Agronegócio
091f6989-3d15-44f8-9cff-298bf40430b4,Eucatex,Indústria
21b82ce3-1b07-40b8-b5d1-a48d1ad64fb8,Irani,Papel & Celulose
21df25e7-3a1c-4d5e-bfd7-7f2c542deb89,JF Citrus,Agronegócio
99b19484-1832-40e5-9d5e-3505cad46a2d,Rede Sim,Outros
82db1a08-9158-441c-b542-1290be8ca3fd,FS,Agronegócio
98a47c0d-d190-40b5-aa95-c20adf0eec91,Vamos,Infraestrutura & Transporte
2237ab60-cc0a-4cd6-8e41-c2c4c4c178ce,Madero,Varejo & Consumo
f0654037-0c4b-469a-87a4-b394759dbd0c,Rede Sim,Outros
dff2b037-bba7-41ed-ade5-350a32012374,BTG Commodities,Agronegócio
af288d2f-719e-4765-82b6-d467fe5c4e2b,BRF,Agronegócio
22e7b7be-c66f-4519-bd6f-dcbc4055a08a,Agrion,Agronegócio
97d27771-8459-40ea-93e9-24d2aa48fc1c,Minerva,Agronegócio
df72168f-486a-498b-9db0-f4f40e5f8796,3tentos,Agronegócio
de71d7dd-932a-42e5-b4d3-b48d52a80412,FS,Agronegócio
ddb6d197-b0ca-45c7-9c93-5e2b4a27f9e5,Adecoagro,Agronegócio
25fad71a-9a94-429c-908a-76d268e2b62c,Vicunha,Indústria
feea763e-c954-496b-8422-0808043d86d3,BTG Commodities,Agronegócio
d9803ad3-a1ce-40af-a2a8-2db5db984b04,Ipiranga,Petróleo & Gás
0ed0f383-3ac6-4846-a333-6d77e67795c5,BTG Commodities,Agronegócio
7fd99bf9-4745-4356-beed-538ed1fd1b3c,Patense,Agronegócio
d8d38341-a7ba-4c52-a480-5823ed8921cd,BRF,Agronegócio
962263b8-df0f-49b3-ace2-066ad932a760,M. Dias Branco,Agronegócio
aa868d26-83bf-4428-8291-0e1947904955,Cabo Verde,Outros
fe8665b7-9f20-4f08-9804-42d2625a5626,Caramuru,Agronegócio
956f86d2-1cf5-4e2e-9027-49592f87ea08,Camil,Agronegócio
7eae02dd-bbcf-4314-a857-5933bfdf82ec,Vale do Tijuco,Agronegócio
9548ecc3-3809-49e2-aaea-05710a307010,Minerva,Agronegócio
fb900556-ea1f-4ea9-84bc-fc4c54c95308,Norsa,Varejo & Consumo
624fc82f-f640-4f82-bfe9-3348050d667c,BTG Commodities,Agronegócio
cfbe0fa7-2a2f-421f-993c-8716989997f7,Irani,Papel & Celulose
ce71589e-d165-4b8e-b1d0-d32482f6c5ce,Marfrig,Agronegócio
2bafd74c-e8e4-4de3-a927-0ca1ece6a6ee,BTG Pactual,Financeiro
ce53f5d3-8541-47e8-84b6-8d67b0023127,BV,Financeiro
cde80d2d-b878-428e-a2ca-e37e323c6a45,BTG Pactual,Financeiro
7e25a32b-f04f-4b65-9718-f2da7208002f,BRF,Agronegócio
691f15b1-c62f-470b-af67-c2168c5f5ebf,Seara,Agronegócio
a68dc4c7-8daa-4565-a69b-c45b397b0cb1,Minerva,Agronegócio
7d230706-d7fb-4ed5-b649-d50ec28e3a80,Caramuru,Agronegócio
045ac17e-473b-4aa2-b99b-60fbc1f131a7,Boa Safra,Agronegócio
2e37325e-55b7-4bed-a664-2d71922bfbfe,Rio Amambai,Agronegócio
a61207d6-55b4-4825-93f7-5e006e378451,JSL,Infraestrutura & Transporte
92904fa0-ad17-4891-bff3-3838ebea03cc,Ipiranga,Petróleo & Gás
0e60e77e-ae1d-417d-a834-ba8e678bec04,Minerva,Agronegócio
a3b44260-1318-4b91-a1ac-e85abf99a8b8,Minerva,Agronegócio
f0ae70b9-e32f-47a5-86a0-81b2f1b327f8,Grupo Masutti,Outros
c9d3fb64-dfa9-4950-be69-6dff307b3938,Projeto Cat,Outros
c8622127-3d23-41f2-b36f-e1e095537ec9,BTG Commodities,Agronegócio
a338de3b-f9a7-418a-bbd0-29e3f73e7a6a,Olfar,Agronegócio
c80f22f2-7efd-49f5-adc0-f68dc7798ec9,FS,Agronegócio
75f5ac45-c14d-467b-bd26-d9945331c722,Edson Ignacio,Outros
8eef4bb0-ec9d-4e8a-87e0-521c6f19c9bc,Minerva,Agronegócio
c6998efc-9cc1-4533-8c88-6a84f61fee4b,Fazenda Lageado,Outros
c4576747-c172-4ef4-adf1-939f036b944c,FS,Agronegócio
7bdd217f-f5fb-49a7-bb9f-002e52d0cd45,Caramuru,Agronegócio
6e69673f-ac80-41c9-a2af-7aad12ee58e4,FS,Agronegócio
334f8289-739e-4e1c-8e73-fe61fb2f4e8a,Minerva,Agronegócio
8bf063bf-287a-476e-8895-844d6c24f5f6,Vamos,Infraestrutura & Transporte
4e72d01c-fd3f-401a-a341-45d023c6de79,FS,Agronegócio
3445801f-85aa-4352-ae98-d56e264644f1,Lar Cooperativa,Agronegócio
fb5d019a-ff85-4227-8633-1077e8f06fd0,São Martinho,Agronegócio
f2a6a894-d58a-4194-a877-92c261e5903b,BTG Pactual,Financeiro
f368f213-be16-4e3d-bcc6-91fb5acd72d8,ACP Bioenergia,Agronegócio
a10d8e28-b69f-4caf-964c-f6aa42f67fab,Vamos,Infraestrutura & Transporte
03c146ee-aca8-4221-9ccd-5ca3b4d195a8,Marfrig,Agronegócio
6f8ab1d3-f8c7-4cc8-818e-64a4465f8ad5,Minerva,Agronegócio
eeb712ad-6623-4b6d-809a-efb1af6dd073,Pantanal,Outros
05bae650-9975-410c-a3d4-fda5821fe818,Caramuru,Agronegócio
1332b738-6809-44a3-9646-527925988965,Minerva,Agronegócio
ee86d211-aa97-461f-85aa-9b53e145643e,JBS,Agronegócio
bb7ad622-a062-43ce-ae4e-c35dc4258c7e,Unidas,Infraestrutura & Transporte
0393e055-2480-422d-9848-3273bd2fa8c5,FS,Agronegócio
ede0cf7f-c0bf-4506-a2bf-c2388d15199d,Eldorado,Papel & Celulose
168bc049-e840-40cf-8cb0-4fb2c2fb7fad,SLC Agrícola,Agronegócio
9c89f1e5-c2d6-4e17-90c1-b199ad07081d,Minerva,Agronegócio
739306a7-b1b3-4152-b400-1072fcf1eee3,Marfrig,Agronegócio
ec60e8fb-f08d-48fc-9f18-492a7c1435f3,Ectp,Outros
fe8b4bbc-217b-41d8-8622-b24e8d51ed30,Olfar,Agronegócio
3b63cc72-36c4-425c-bc19-cf58a7421490,Rede Sim,Outros
05a36b38-f58e-4404-9108-ea94210c5eb5,Unidas,Infraestrutura & Transporte
53a75fc4-ec1f-46a3-92cf-324e647ec039,Minerva,Agronegócio
e9fb472f-6dfb-4904-ad98-996452925441,Seara,Agronegócio
3e10c408-a510-4627-a82f-5aaa49d65ab4,Camil,Agronegócio
3e2b010a-02a3-40d0-81c1-9af628501aa5,FS,Agronegócio
fe916cb0-8520-4ac0-9fb0-5d8efdfe03b2,Camil,Agronegócio
3fa4bc7c-ba64-436f-8809-c2ca54770d11,Marfrig,Agronegócio
ef54bd7e-e9b9-4aa6-bf0e-0ae85d482649,Ceres,Outros
3660f90d-6c60-44d1-a089-ec7230931667,Minerva,Agronegócio
a0bb80aa-e133-4e14-920b-a94e25c8ec7c,Vamos,Infraestrutura & Transporte
51733b1c-87c3-4c64-8d15-566615dd5dcb,Minerva,Agronegócio
be1e4297-7c17-4c55-ad6d-9ce2f84d9428,JBS,Agronegócio
a09d93b4-c6a1-4964-9a14-b3d57a98e587,Ectp Ii,Outros
6fbe63d4-b115-4e49-ba77-aa551f55f130,BTG Commodities,Agronegócio
51d902fd-cb00-4c6b-aa73-fd19ccc7f7cb,Minerva,Agronegócio
d2354ae3-b559-4900-90ca-9e8780f4814c,JBS,Agronegócio
20b0a6fe-b9f9-4a82-b9e1-b059293664b4,Solar (geração distribuída),Energia Elétrica
e0dee42e-1ca6-4672-b51f-19d565959c52,Petrobras,Petróleo & Gás
78132e18-271d-492b-8d89-3483b6945fe4,Movida,Infraestrutura & Transporte
e05dd088-1edc-436f-9cd8-6c76020d8680,Oncoclínicas,Saúde
38055093-5002-4121-9b60-17eab3ca9d1c,Urba,Imobiliário
b54c851f-1d89-46a7-82e5-d41897124526,Pulverizado,Outros
228d06aa-9574-465e-9096-ec92d5ed4c8f,Caprem,Outros
bcd4cc47-86ab-4b7b-be69-e85b989d7776,Incorporadoras (diversas),Imobiliário
8a6702d7-43a4-4eef-9d1c-e9de33f4b288,Poti Junior,Outros
782cc806-d97d-4bb4-828d-f90f88061f3f,Dufrio,Varejo & Consumo
23356eda-7b24-4c98-8b10-9270c5021af5,Allos,Imobiliário
136f8ece-5687-4184-9ba7-b0cfd9e10e15,Dasa,Saúde
df4ac0ff-3426-4d59-b181-c02c489e9cfc,MRV,Imobiliário
a8654241-295d-4f57-afb2-b5590e0ed598,Coop. General Osório,Agronegócio
ee72862b-29ee-4d62-b6c2-6a82c1740924,Alumbra,Outros
13c05e36-5bb7-40f5-9562-ec90b9fb4078,Grupo Mateus,Varejo & Consumo
67d37695-64c6-4c18-a26b-aa90562e2530,Solar (geração distribuída),Energia Elétrica
c0403cf9-2392-4298-baf0-1132e3743a7b,Ânima,Educação
6e4f5231-3c55-4038-9031-a1b51c948c65,Dasa,Saúde
13cd88d4-959f-4807-839d-d0b255b243c3,Cury,Imobiliário
3644f83d-8fe3-4961-994b-fe01214638c0,Rtdr,Outros
edbfa508-c42d-4284-ac54-a4f4fd5d1949,Dufrio,Varejo & Consumo
34ff0954-86cf-4d9c-afee-9e03458eb57a,Movida,Infraestrutura & Transporte
279fd50a-6fca-4500-8ccd-47ce7ac36d7a,Incorporadoras (diversas),Imobiliário
5a6d6049-b9a9-4559-b5c0-b00458a7fd96,Dasa,Saúde
8ef40bbe-62de-4134-b4c8-55ce853e4b00,Birigui,Outros
ff96663c-3d9d-4e72-b1f9-3c62c29a0987,Eben,Outros
742eb9f1-1845-412c-9fee-e75b7de57006,Banco Pan,Financeiro
a7463d50-4607-49bf-bf61-a697c40bfb5c,Moura Dubeux,Imobiliário
e37cffba-7fe1-4381-bbd1-7fa0390d9a97,Tmi,Outros
fff169bc-ef66-4de9-bc00-07ea86d7351d,Dasa,Saúde
87ec4902-38ba-4efc-9396-d54e6d4fd41d,Estapar,Infraestrutura & Transporte
e2db46a1-e7e8-4d1b-82ba-e7c1c85df0b3,New Inc,Outros
5e6a7f16-d788-4d42-aee9-24e0e47bb2a4,Day Medical,Outros
e169b433-9601-4f36-bb70-0eecd855d187,Allos,Imobiliário
06039ce0-c5ac-4df8-b9ce-790ebc12137e,Oncoclínicas,Saúde
c292eeff-59cc-4a6a-96ee-fd705dc4996f,Allos,Imobiliário
285f0b85-e6da-4681-8c53-1a9007b375f2,Basesul,Outros
59ce94ac-d048-48d0-a179-0b43ee19292f,Verticale Iii,Outros
9d98a937-0fe5-43c5-959e-8708f92af0db,Hapvida,Saúde
74c33039-57f9-421f-9a03-5e0b1bf0f20b,Globo,Telecomunicações
ffd04c9c-1b2d-4e0e-90c9-5d9f4195ca0f,Zarin,Outros
0002a511-8be9-4812-b9f5-c85e293d0e9d,Nissei,Varejo & Consumo
6cac33c0-7215-4463-89fb-11030e1c4ee5,Dasa,Saúde
f5221ce3-dbeb-4640-a752-bd0cdb26a125,Mitre,Imobiliário
2918ad75-065f-47fb-adbf-23d4519b40a3,Aché,Saúde
b6d100c4-0c64-4c9a-ac29-968818c05ce3,Stellantis,Indústria
7e26156e-513d-466c-900c-8d902c77576e,BR Properties,Imobiliário
32f2fe31-eaa2-43af-b64c-af770bb106e8,Times Square,Outros
6ed17bc3-7846-428d-96c6-e584a1feca2e,Petrobras,Petróleo & Gás
9c2171e1-62fe-46dd-bbcd-5abc8bcbf4b5,Terra Mundi,Outros
541a860a-ce8e-45af-846a-803854841216,Brookfield,Outros
cdcf73e8-981e-4934-bf93-85c0d1c12686,Gja Ii,Outros
306580e3-f06c-46a0-aba8-232f74bdf765,MRV,Imobiliário
7ebfc217-a8a7-4784-b5a9-39bb0de9ec4d,Canopus,Outros
9981d26b-a527-44d4-ba82-6770d2103039,Ujay Trevo Boa Vista,Outros
a4c55cec-cdd0-4034-a46c-f2e7cbd6db4c,Terracap,Imobiliário
2fac3dbd-2e6c-4e81-a9de-43aa3623c9d6,Terracap,Imobiliário
b9b6104f-5bbf-48a9-a66d-21d08e5d3311,Rede D'Or,Saúde
441c6b9a-1311-4fc7-a17f-35fb7d7da559,Longitude,Outros
e8546e4e-37f2-46a7-8c72-66b5d1777af4,MRV,Imobiliário
3bfe386d-04bb-4f5c-aa46-915afe14c5f3,Rede D'Or,Saúde
573e0161-a6c6-46ec-9eed-ccaf2c23cccb,Rtdr,Outros
71d95a25-7433-4158-8b4e-4ddb091effa5,Hospital Albert Einstein,Saúde
c93c78df-2880-44ea-8fd6-05ef401a0e5e,Tenda,Imobiliário
e74f5ce8-19b7-42fe-8ef0-35d94c1820f0,Verticale,Outros
996cae19-7120-44c3-9d9a-5c02fc962328,Due Iii,Outros
1b93610d-edd1-4215-9bbb-a11c60ef1384,Even,Imobiliário
e6e8de6f-9922-4f0a-9312-203175c474be,Btg Prime Log,Outros
1d2fe729-64e8-46f8-8bb2-ebdbd5fe769e,BTG Pactual,Financeiro
5f3a4a04-6ce4-4791-8a5b-3771bf02096d,Ânima,Educação
460285ca-7dbf-4831-b642-0551b7a0b9a5,Summer Park,Outros
3ae0037c-8aae-4ab4-aee1-33c1290f3253,Assaí,Varejo & Consumo
84ac0b67-533e-4891-b5b5-1bc7ef2af927,Rede D'Or,Saúde
69034202-6e86-49aa-ba2d-4a488d29dd1a,Yduqs,Educação
03af6a06-8fe6-4963-8fd3-7d42cc656bfc,Diamond Hill,Outros
86646a1f-3625-4e4b-a01d-b6309d0ff4bd,Localiza,Infraestrutura & Transporte
6b1beac1-8178-48ba-b70e-e26d1ffde63c,Lar Cooperativa,Agronegócio
86d830c4-779d-4103-b39d-13f9a1f12fb2,Yduqs,Educação
a2e19a4c-0391-4183-9c4a-b9bbe5a2b607,GPA,Varejo & Consumo
5ed1b20b-8975-419b-b5ff-369320f69be3,Rede D'Or,Saúde
9c29cfb3-cf08-42e7-aff4-0931808fb8be,Simpar,Infraestrutura & Transporte
6fc7c33d-7298-43a7-99f9-524bfd9d2e1c,Petrobras,Petróleo & Gás
01f806b2-fbb2-4393-a20c-b998b712f5ba,CESP,Energia Elétrica
fcf705a1-96d3-4096-a856-af1ddf0174e1,Saneamento (SPEs),Saneamento
741e525f-06df-4b0c-bc17-126485eb047f,GPA,Varejo & Consumo
06e3f9ea-7c6e-4c21-8d8d-af2fec929ab7,BTG Commodities,Agronegócio
0905fda6-a1ce-4675-808e-58df68295dce,Localiza,Infraestrutura & Transporte
f2227438-2a3d-4656-8950-4564229132a0,CSN,Indústria
0f6dcaa6-8865-4958-8928-262a7da09c6c,Concessionárias de rodovia,Infraestrutura & Transporte
ef680f34-660b-4f64-989c-9b796935c15f,CSN,Indústria
12ab9c80-3d45-4d51-96cb-55a3ecd1a8b6,Vero,Telecomunicações
12d0a5aa-2015-4d36-a4fd-afc3ba0ce403,Equatorial Transmissão,Energia Elétrica
78013847-0a7a-4244-b6c2-74264be4dfe6,Hortus,Varejo & Consumo
66e9709a-7e0b-4f7e-abb4-e9db3ad31ca8,Origem Energia,Petróleo & Gás
65f9fd3b-2719-48ef-8bed-4ae3cec82b83,Brava Energia,Petróleo & Gás
7c8c4c85-c854-4ae1-a7e9-6fdf374a54d9,Casas Bahia,Varejo & Consumo
ed8b2db0-d490-4521-b5cb-e8c8c0043add,Norte Energia,Energia Elétrica
7d22fd8f-1f08-4956-9910-1beff9ef9f1b,Eneva,Energia Elétrica
ed150733-9735-4b45-a945-51a7d98230b7,Termelétricas (SPE),Energia Elétrica
ecbdd0e8-72d0-4bbc-8f53-95541247a6c4,Movida,Infraestrutura & Transporte
ec08cc17-82fa-4230-9626-2455033497ae,Weclix,Telecomunicações
ea502cad-2407-45ee-ac99-e8dac9ab3852,Simpar,Infraestrutura & Transporte
e9c7beb4-1782-464a-b0de-d2bb7e66c79c,Taesa,Energia Elétrica
e932fd96-db58-4846-acb0-20f6a2abd131,Eneva,Energia Elétrica
1ac3cd8a-5807-49d1-bdfa-5f6b82f11386,Casas Bahia,Varejo & Consumo
8231ceab-7cf8-4a27-b314-8a962c1c34c2,Triple Play,Telecomunicações
e3a4ee9e-1f85-4d1e-b779-6c34ab6e0efc,CSN,Indústria
84db56c1-485b-45c5-a8cd-b85cd98e2262,Holding Do Araguaia S.A.,Outros
86088a76-b24e-4134-ba69-5286632f53c6,Alares,Telecomunicações
867bfee7-80ca-427d-9af7-324d0e032b7f,Termelétricas (SPE),Energia Elétrica
1ea5cec8-70bd-40fe-bc13-cac15befafc4,CSN,Indústria
21f920c6-db28-4503-b7ba-75c846f7d077,Magazine Luiza,Varejo & Consumo
df5134ee-6d6f-4aa0-9531-7c1373cc36cf,Movida,Infraestrutura & Transporte
df13ae3e-2acd-4222-aa7f-b04d25b193f2,Transmissoras (SPE),Energia Elétrica
25287855-4e68-42c6-b90f-40815c94e27a,Elektro,Energia Elétrica
ddbeffd2-9b4d-4b7b-9ab5-a39093bdd8ec,Saneamento (SPEs),Saneamento
8d3c6b77-68a8-4b4e-bd53-5b3ffbfe7a22,Brava Energia,Petróleo & Gás
25bc0640-5ead-4b56-9c2c-f41dae3dc4b1,Taesa,Energia Elétrica
26b8fb02-8d73-4688-871e-43a2c6fc7578,Concessionárias de rodovia,Infraestrutura & Transporte
d6e87454-4365-4ba9-892a-0e84c01be4b2,BTG Pactual,Financeiro
8fbb416e-c3bf-43b4-948a-babab015107d,Jalles Machado,Agronegócio
d3d40f3d-1ed6-4e96-adeb-3f946ce1a00d,Energética Sinop,Energia Elétrica
5a3ae0eb-7492-485e-93d8-dbf16fe037d1,Origem Energia,Petróleo & Gás
599fdce7-d9bf-4421-a271-0a1399b8284c,Localiza,Infraestrutura & Transporte
92d9c84a-1c07-4ef6-a82d-e41bed23b478,Transmissoras (SPE),Energia Elétrica
92e55a6f-16c1-4324-b165-b48a72efd812,Saneamento (SPEs),Saneamento
d1678641-cca3-4a49-9c56-bd63fe8cde6e,Jalles Machado,Agronegócio
cfe9638f-ab0c-4cc3-9238-47e8cedbcb5e,Eletrobras,Energia Elétrica
58a87b30-24e4-4864-add8-0426be8a388a,Vale,Indústria
586c7f59-ea8b-4062-b4e5-226565c3eb6c,Brava Energia,Petróleo & Gás
2c587532-d1c0-4de0-8aab-8d662c92d80a,Brava Energia,Petróleo & Gás
ccb48c97-c370-4b23-9fa7-c4179a0888ce,Saneamento (SPEs),Saneamento
96d65a39-4226-4d1a-926a-19d35fbb88a3,Brasil Tecnologia,Tecnologia
9724f15d-dff2-491e-8941-ba0b5cfc7e40,Saneamento (SPEs),Saneamento
5758e786-5e86-4978-9dd3-1d2dc80fcb8e,CSN,Indústria
5758b81c-7476-4ef1-9f50-a24b88e4d21d,V.tal,Telecomunicações
301cb01c-a46d-4b2f-a8dc-c769689d43b5,Localiza,Infraestrutura & Transporte
5707dada-2412-4461-af2a-4eda2154806b,Brava Energia,Petróleo & Gás
98fcef48-3c58-4b42-b2c8-135a85a294b0,Vamos,Infraestrutura & Transporte
3070951e-4b42-45d0-a3af-2b89876dd72a,Marfrig,Agronegócio
54c3a73b-7db6-4628-aa6a-3402903d1cb8,CSN,Indústria
3079a71a-dfa9-44ed-962f-5a93e3cc1a9a,Brava Energia,Petróleo & Gás
c5f9d7c9-a12d-46c4-be76-8c241b8a78c7,Saneamento (SPEs),Saneamento
9bb2fc2a-c23d-4a03-a1e6-23bce4e95e0d,Oncoclínicas,Saúde
43b8af3c-2202-47b2-b8b5-5d380ea02066,Ligga,Telecomunicações
52e6b3f9-e951-40ec-b158-1705906c192d,Saneamento (SPEs),Saneamento
529f0018-efc4-4c8e-b962-cd3a2ce000a4,Saneamento (SPEs),Saneamento
c247ffac-44f0-4558-8127-70dac0d33370,CSN,Indústria
c2128dd6-4c10-40b1-975c-3ea9c26926bb,Petrobras,Petróleo & Gás
35407066-166e-4518-944a-67c09751b673,Saneamento (SPEs),Saneamento
a0f08265-d0c5-47a3-bb93-a47a2eaa3187,Hortus,Varejo & Consumo
3b33013a-35ff-4bdd-afba-4bb7c7760154,Neoenergia,Energia Elétrica
3c9bcb2c-b341-48ef-b6ae-40a66eb58948,Vero,Telecomunicações
a504a047-e9fe-4369-9614-32cd8781c7d5,PRIO,Petróleo & Gás
40745c84-e1d1-48f8-aa0c-08746364d545,CSN,Indústria
b5c16675-8fed-4dd7-8445-ef6bb8730348,Arteris,Infraestrutura & Transporte
40df37af-250c-4422-9edd-eb8465fea296,Kora Saúde,Saúde
af8c2e97-a1b4-401e-8712-3155515fb358,Simpar,Infraestrutura & Transporte
4238fc51-1ec8-4e66-af56-4e4a97c43c11,Brava Energia,Petróleo & Gás
